count	SID	uniq_files	uniq_exs	files	exs
12	1284	["x","htm_1284.wav"]	["マー⸢ズン⸣　ア⸢ザ⸣ディー","⸢バン⸣ヌン　ア⸢ジ⸣プサン","カ⸢ヌ⸣　プ⸢スヌ⸣　ア⸢ズ⸣カー　⸢バン⸣ヌン　ア⸢ズン","ク⸢リンナー⸣ニ　ア⸢ズ⸣　プ⸢ソー⸣　ブ⸢ラーヌ","⸢マー⸣ビン　ア⸢ジシゥカシェー⸣　ミサムヌ　","⸣バーン　ア⸢ジ⸣バ"]	["x","x","x","x","x","x","htm_1284.wav","htm_1284.wav","htm_1284.wav","htm_1284.wav","htm_1284.wav","htm_1284.wav"]	["マー⸢ズン⸣　ア⸢ザ⸣ディー","⸢バン⸣ヌン　ア⸢ジ⸣プサン","カ⸢ヌ⸣　プ⸢スヌ⸣　ア⸢ズ⸣カー　⸢バン⸣ヌン　ア⸢ズン","ク⸢リンナー⸣ニ　ア⸢ズ⸣　プ⸢ソー⸣　ブ⸢ラーヌ","⸢マー⸣ビン　ア⸢ジシゥカシェー⸣　ミサムヌ　","⸣バーン　ア⸢ジ⸣バ","カ⸢ヌ⸣　プ⸢スヌ⸣　ア⸢ズ⸣カー　⸢バン⸣ヌン　ア⸢ズン","ク⸢リンナー⸣ニ　ア⸢ズ⸣　プ⸢ソー⸣　ブ⸢ラーヌ","⸢マー⸣ビン　ア⸢ジシゥカシェー⸣　ミサムヌ　","マー⸢ズン⸣　ア⸢ザ⸣ディー","⸢バン⸣ヌン　ア⸢ジ⸣プサン","⸣バーン　ア⸢ジ⸣バ"]
11	23163	["htm_23163.wav"]	["トゥ⸢ラディマリ","ン⸢マ⸣ディマリ","⸢トゥンディマリ","⸢イン⸣ディマリ","ウ⸢シディマリ","タ⸢チディマリ","⸢ミーディマリ","ピ⸢チディマリ","⸢ビーディマリ","⸣ウディマリ","⸣サディマリ"]	["htm_23163.wav","htm_23163.wav","htm_23163.wav","htm_23163.wav","htm_23163.wav","htm_23163.wav","htm_23163.wav","htm_23163.wav","htm_23163.wav","htm_23163.wav","htm_23163.wav"]	["トゥ⸢ラディマリ","ン⸢マ⸣ディマリ","⸢トゥンディマリ","⸢イン⸣ディマリ","ウ⸢シディマリ","タ⸢チディマリ","⸢ミーディマリ","ピ⸢チディマリ","⸢ビーディマリ","⸣ウディマリ","⸣サディマリ"]
10	31473	["htm_31473.wav","x"]	["バ⸢サン⸣パームチ","カ⸢サン⸣パームチ","サ⸢ミンパームチ","⸢プール⸣ムチ","⸢キールムチ","⸢アンム⸣チ","バ⸢タム⸣チ","⸢アーム⸣チ","ア⸢ガムチ","⸢ウンヌ⸣ムチ"]	["htm_31473.wav","htm_31473.wav","htm_31473.wav","htm_31473.wav","htm_31473.wav","htm_31473.wav","htm_31473.wav","htm_31473.wav","htm_31473.wav","x"]	["バ⸢サン⸣パームチ","カ⸢サン⸣パームチ","サ⸢ミンパームチ","⸢プール⸣ムチ","⸢キールムチ","⸢アンム⸣チ","バ⸢タム⸣チ","⸢アーム⸣チ","ア⸢ガムチ","⸢ウンヌ⸣ムチ"]
9	30410	["htm_30410.wav"]	["⸢イ⸣チ","⸢ム⸣ー","⸣ククヌ","⸢トゥー","⸢フー","⸢ミー","⸢ユー","⸣ナナ","⸢ヤー"]	["htm_30410.wav","htm_30410.wav","htm_30410.wav","htm_30410.wav","htm_30410.wav","htm_30410.wav","htm_30410.wav","htm_30410.wav","htm_30410.wav"]	["⸢イ⸣チ","⸢ム⸣ー","⸣ククヌ","⸢トゥー","⸢フー","⸢ミー","⸢ユー","⸣ナナ","⸢ヤー"]
9	20667	["htm_20667.wav"]	["イ⸢チッ⸣ク","ナ⸢ナッ⸣ク","ク⸢ヌッ⸣ク","フ⸢タック","⸢トゥック","⸢ミック","⸢ユック","⸢ムック","⸢ヤック"]	["htm_20667.wav","htm_20667.wav","htm_20667.wav","htm_20667.wav","htm_20667.wav","htm_20667.wav","htm_20667.wav","htm_20667.wav","htm_20667.wav"]	["イ⸢チッ⸣ク","ナ⸢ナッ⸣ク","ク⸢ヌッ⸣ク","フ⸢タック","⸢トゥック","⸢ミック","⸢ユック","⸢ムック","⸢ヤック"]
9	19794	["htm_19794.wav"]	["⸢イ⸣チ","⸢トゥー","⸢ター","⸢ミー","⸢ユー","⸢ムー","⸣ナナ","⸢ヤー","⸣クヌ"]	["htm_19794.wav","htm_19794.wav","htm_19794.wav","htm_19794.wav","htm_19794.wav","htm_19794.wav","htm_19794.wav","htm_19794.wav","htm_19794.wav"]	["⸢イ⸣チ","⸢トゥー","⸢ター","⸢ミー","⸢ユー","⸢ムー","⸣ナナ","⸢ヤー","⸣クヌ"]
8	20676	["htm_20676.wav"]	["イ⸢チッ⸣チン","ナ⸢ナッ⸣チン","ク⸢ヌッ⸣チン","フ⸢タッチン","⸢ミッチン","⸢ユッチン","⸢ムッチン","⸢ヤッチン"]	["htm_20676.wav","htm_20676.wav","htm_20676.wav","htm_20676.wav","htm_20676.wav","htm_20676.wav","htm_20676.wav","htm_20676.wav"]	["イ⸢チッ⸣チン","ナ⸢ナッ⸣チン","ク⸢ヌッ⸣チン","フ⸢タッチン","⸢ミッチン","⸢ユッチン","⸢ムッチン","⸢ヤッチン"]
8	20204	["htm_20204.wav"]	["⸢サン⸣トゥ","ル⸢ク⸣トゥ","ナ⸢ナ⸣トゥ","⸢ハッ⸣トゥ","⸢キュートゥ","⸢ユントゥ","⸣ニトゥ","グ⸢トゥ"]	["htm_20204.wav","htm_20204.wav","htm_20204.wav","htm_20204.wav","htm_20204.wav","htm_20204.wav","htm_20204.wav","htm_20204.wav"]	["⸢サン⸣トゥ","ル⸢ク⸣トゥ","ナ⸢ナ⸣トゥ","⸢ハッ⸣トゥ","⸢キュートゥ","⸢ユントゥ","⸣ニトゥ","グ⸢トゥ"]
8	19705	["htm_19705.wav"]	["ク⸢クヌ⸣ティ","イ⸢チ⸣ティ","ナ⸢ナ⸣ティ","フ⸢タティ","⸢ミーティ","⸢ユーティ","⸢ムーティ","⸢ヤーティ"]	["htm_19705.wav","htm_19705.wav","htm_19705.wav","htm_19705.wav","htm_19705.wav","htm_19705.wav","htm_19705.wav","htm_19705.wav"]	["ク⸢クヌ⸣ティ","イ⸢チ⸣ティ","ナ⸢ナ⸣ティ","フ⸢タティ","⸢ミーティ","⸢ユーティ","⸢ムーティ","⸢ヤーティ"]
8	3845	["htm_3845.wav"]	["ク⸢クヌ⸣ウー","イ⸢チ⸣ウー","ナ⸢ナ⸣ウー","フ⸢タウー","⸢ミーウー","⸢ユーウー","⸢ムーウー","⸢ヤーウー"]	["htm_3845.wav","htm_3845.wav","htm_3845.wav","htm_3845.wav","htm_3845.wav","htm_3845.wav","htm_3845.wav","htm_3845.wav"]	["ク⸢クヌ⸣ウー","イ⸢チ⸣ウー","ナ⸢ナ⸣ウー","フ⸢タウー","⸢ミーウー","⸢ユーウー","⸢ムーウー","⸢ヤーウー"]
