select * from headword_exs where Trs regexp '.+\)。\S.*';
WdID	PoSID	MnID	col_Order	Wd	Wd2	exid	Ex	IPA	Trs
13	0	0	18	アーサ	⸢アー⸣サ	1	⸢ヤースクリヤー⸣ヌ　⸢アーサ⸣ヌ　⸢スー⸣ヌ　ン⸢マー⸣ワ⸢レー⸣　プ⸢ソー⸣　フ⸢バリティル⸣　ッ⸢ふァーリ⸠ツォー	[⸢jaːsukurijaː⸣nu ⸢ʔaːsa⸣nu ⸢suː⸣nu ʔm⸢maː⸣wa⸢reː⸣ pu̥⸢soː⸣ ɸu⸢baritiru⸣ f⸢faːri⸠ʦoː]	(家造り普請の家のアーサ汁の美味しいことよ{EOS}他人には食わせてやれない<独占したい>ほど美味しい<他人は縛り付けておいてぞ食べられる>んだよ)。⸣インアーサ[⸣ʔiŋʔaːsa]参照
14	0	0	19	アーザ	⸢アー⸣ザ	1	⸢アー⸣ザー　⸣マナー　⸢オール⸣ワ	[⸢ʔaː⸣ʣaː ⸣manaː ⸢ʔoːru⸣wa]	(兄さんは何処に居られますか)。この語彙には、ウ⸢ボー⸣ザ[ʔu⸢boː⸣ʣa](長<大>兄)、⸣ナカザー[⸣nakaʣaː](中兄)、アー⸢ザ⸣マ[ʔaː⸢ʣa⸣ma](末<小>兄)の部分体系<序列>がある。上に固有名詞を付ける際には、⸢イシ⸣トザー[⸢ʔiʃi⸣toʣaː](石戸兄)⸢サン⸣ドーザー[⸢san⸣doːzaː](三郎兄)⸣タローザー[⸣taroːʣaː](太郎兄)のように~⸣ザ[~⸣ʣa]となる。
20	0	0	25	アーシキン	⸢アーシ⸣キン	3	⸢アーシキン⸣バ　カ⸢サビ⸣　キ⸢スタンティン　ピー⸣ヤー　ニ⸢ジララ⸣ヌ	[⸢ʔaːʃikim⸣ba kḁ⸢sabi⸣ ki̥⸢sutantim piː⸣jaː ni⸢ʤirara⸣nu]	(袷を重ねて着ても寒さは堪えられない)。裏地の付いた冬用の着物。平常は⸣バサキン[⸣basakiŋ](芭蕉布の単衣)か、⸣ブーキン[⸣buːkiŋ](麻布の単衣)を着て過ごした。
33	0	0	32	アーシラ	⸢アー⸣シラ	1	⸢アー⸣シラシ⸢ミ⸣　シケー	[⸢ʔaː⸣ʃira ʃi⸢mi⸣ ʃi̥keː]	(粟のシラ<稲叢>を積んで<置いて>ある)。シ⸢ラ参照
1453	0	0	52	アーニヤー	⸢アー⸣ニヤー	1	⸢アー⸣ニヤーテー	[⸢ʔaː⸣nijaːteː]	(アーニヤー氏の家)。本来は、⸢アンヌ⸣ヤー[⸢ʔannu⸣jaː](分家した東の家)の意味であったのが、⸢花城家本家から分家した東の家」を確立した人名に変化したものであろう。
45	0	0	53	アーヌイー	⸢アーヌ⸣イー	1	⸢アーヌ⸣イーン　ン⸢マー⸣ンドゥ　⸢マイヌイー⸣ヤ　ウ⸢レー⸣ラン　⸢マービン⸣ドゥ　ン⸢マー⸣ティ　⸣ムカーヤ	[⸢ʔanu⸣ʔiːm ʔm⸢maː⸣ndu ⸢mainuʔiː⸣ja ʔu⸢reː⸣ram ⸢maːbin⸣du ʔm⸢maː⸣ti ⸣mukaːja]	(粟飯も美味いが、米の飯はそれよりも更に<ぞ>美味しいというものだよ)。普段は粳(うるち)粟と芋の飯を炊き、祝祭日には糯(もち)粟と米の飯を炊いたりした。
113	0	0	79	アームル	⸢アー⸣ムル	1	⸢アー⸣ムルン　⸣ウンミサクン　マ⸢ラソー⸣リ⸢ヨー	[⸢ʔaː⸣muruŋ ʔummisakum ma⸢rasoː⸣ri⸢joː]	(泡盛も芋神酒も醸造なされよ<生まらせなされよ>)。一般的には、サ⸢キ⸣　タルン[sḁ⸢ki⸣ tarunŋ](酒を醸造する)というが、⸢アー⸣ムル(泡盛の神酒)や、⸢アーミサ⸣ク(粟神酒)、⸣ウンミサク[⸣ʔummisaku](芋神酒)は、マ⸢ラスン[ma⸢rasuŋ](生まれさせる)という。
73	0	0	87	アーラスン	⸢アーラ⸣スン	4	⸢アーラ⸣シェー　⸣ミサムヌ	[⸢ʔaːra⸣ʃeː ⸣misamunu]	(配れば良いのに)。均等に配分する。
125	0	0	91	アーラスン	⸢アーラスン	4	ウ⸢シ⸣ヌ　パー　アーラシ	[ʔu⸢ʃi⸣nu ⸣paː ⸢ʔaːraʃi]	(臼の歯をたてなさい{EOS}臼の歯を鑿で削ってたてなさい)。ウ⸢シ⸣ヌ　⸣パー　⸣タトゥン[ʔu⸢ʃi⸣nu ⸣paː ⸣tḁtuŋ](臼の歯を立てる)ともいう
118	0	0	102	アール	⸢アール	2	ッ⸢ふァー⸣ル	[f⸢fuʔaː⸣ru]	(黒蟻))。ッ⸢サー⸣ル[s⸢saː⸣ru](白蟻)等がいる
143	0	0	104	アールティダ	⸢アールティダ	1	⸢アールティダル⸣　ウ⸢ガ⸣ム	[⸢ʔaːrutidaru⸣ ʔu⸢ga⸣mu]	(昇る太陽を拝む{EOS}神聖な太陽を拝む{EOS}転じて、勢力の大きな者に従う)。老年層には昇る太陽を神聖なものとして拝む習慣があった。⸢アールティダー⸣　フ⸢チ⸣ル　⸢イールティダー⸣　ドゥク[⸢ʔaːrutidaː⸣ ɸu̥⸢ʧi⸣ru ⸢ʔiːrutidaː⸣ duku](上がる太陽は薬、西日<午後の太陽>は毒)<諺>。
145	0	0	106	アールピサ	⸢アールピサ	4	⸣マンタヌピサ	[⸣mantanupi̥sa]	(前のひら))。ニ⸢シピサ[ni⸢ʃipi̥sa](北のひら)、ニ⸢シンタヌピサ[ni⸢ʃintanupi̥sa](北側のひら)参照
77	2	0	120	アイ	⸣アイ	2	⸣アイ　ウ⸢レー　ヌー⸣　シター	[⸣ʔai ʔu⸢reː ⸢nuː⸣ ʃi̥taː]	(あれ{EOS!}これは一体どうしたのかい)。そう。そのように。その通り。
77	2	0	120	アイ	⸣アイ	5	⸣アイ　⸢サン⸣カー　ナ⸢ラ⸣ヌ	[⸣ʔai ⸢saŋ⸣kaː na⸢ra⸣nu]	(そうしないといけない)。相手の意見を一旦受け止め<肯定し>て、おもむろに話し手の意見を述べる際に言うことば。
77	2	0	120	アイ	⸣アイ	8	アイ　⸢ダー　ワー⸣　アズ　⸢トゥー⸣ル	[ʔai ⸢daː waː⸣ ʔaʣu ⸢tuː⸣ru]	(そうだよ{EOS}君のいう通りだ)。動詞や助詞と結びついて、⸣アイニ[⸣ʔaini](そのように)、アイ⸢バー⸣キ[ʔai⸢baː⸣ki](そんなにまで)、⸣アイヤー[⸣ʔaijaː](そんなには)、⸣アイル[⸣ʔairu](そのように<ぞ>)、⸣アイニン[ʔainiŋ](そんなにも)、⸣アイヌ　パ⸢ナ⸣シ[⸣ʔainu pa⸢na⸣ʃi](そのようであるとのこと)、⸣アイ　⸢スン⸣ケン[⸣ʔai ⸢suŋkeŋ](そうするうちに、そうするまで)のように用いられる
162	0	0	132	アイカーフンカー	⸢アイカーフン⸣カー	4	⸢ウン⸣ネナー　⸢アイカーフンカー⸣ヌ　⸣キシテー　⸢ナー⸣ヌ	[⸢ʔun⸣nenaː ⸢ʔaikaːɸuŋkaː⸣nu ⸣ki̥ʃiteː ⸢naː⸣nu]	(あの家では喧嘩口論の絶えることがない)。⸢フン⸣カー[⸢ɸuŋ⸣kaː]は石垣方言の⸢ヒ⸣ンカー[⸢çi⸣ŋkaː](反抗、抵抗、「返歌」の義)『石垣方言辞典』の転訛したものか
173	0	0	137	アイク	⸢アイ⸣ク	2	⸢キーアイ⸣ク	[⸢kiːai⸣ku]	(木製の担ぎ棒))。ミ⸢ジカタミアイ⸣ク[mi⸢ʤikatamiai⸣ku](水担ぎ棒)等がある。木製のアイクは、直径約6センチの若木や木の枝を利用して作った。両端を尖らせて鉤状にし、紐が滑らないようにして両端に吊るして担ぐ棒。
184	0	0	149	アイジョー	⸢アイジョー	1	ウ⸢ヤ⸣ヌ　⸢アイジョーヌ⸣　タ⸢ラーン⸣カー　ッ⸢ふァー⸣　ヤ⸢ビ⸣ス	[ʔu⸢ja⸣nu ⸢ʔaiʤoːnu⸣ ta⸢raːŋ⸣kaː f⸢faː⸣ ja⸢bi⸣su]	(親の愛情が足りないと子供はぐれる<性格がやぶれる>)。⸢ジョー[ʤoː](愛情)ともいう。普通はキム[⸣kimu](心、愛情、情)という。
178	0	1	151	アイシンカイシン	⸣アイシンカイシン	1	⸣アイシンカイシン　ナ⸢ラン⸣ベーティ　⸢ワー⸣ラ　⸣ナラウンティ　⸢クー⸣タ	[⸣ʔaiʃiŋkaiʃin na⸢ram⸣beːti ⸢waː⸣ra ⸣naraunti ⸢kuː⸣ta]	(どうにもこうにもならなくて、貴方から習おうとやって来ました)。/ヘイヤー　アンシン　ナラナーキ　ヘイヤー　カンシン　ナラナーキ/(ヘイヤー<囃子>そうしても<村建てが>出来ないので、ああしても<村建てが>できないので)「パトゥマ本ジラマ」『鳩間島古典民謡古謡集』。
189	0	0	161	アイダー	アイ⸢ダー	1	ウ⸢レー⸣　アイ⸢ダー	[ʔu⸢reː⸣ ʔai⸢daː]	(それはそうだよ)。⸢ダー[⸢daː](~だよ{EOS}~よ)は名詞、動詞の終止形、命令形、形容詞の語幹、副詞などに付く。
190	0	1	162	アイダチ	⸢アイダ⸣チ	1	⸢サイ⸣コー　⸢アイダ⸣チシ　⸢ヌン⸣バ　⸢シッ⸣ケーティ　パ⸢ラー⸣ヌ　⸣アナー　プ⸢ローッ⸣タ	[⸢sai⸣koː ⸢ʔaida⸣ʧiʃi ⸢num⸣ba ⸢ʃik⸣keːti pa⸢raː⸣nu ⸣ʔanaː pu⸢roːt⸣ta]	(大工は小槌で鑿を打ち<突き>ながら柱の穴を掘られた)。米を搗く際に用いる大木槌状の横杵は、ウ⸢ブアイダ⸣チ[ʔu⸢buʔaida⸣ʧi](大槌)という。建築工事に用いる大槌はガ⸢バ⸣ラ[ga⸢ba⸣ra](大槌)という。
190	0	2	163	アイダチ	⸢アイダ⸣チ	1	⸢ヨイ⸣ヌ　⸣ピンマー　フ⸢タールナー⸣シ　ウ⸢ブアイダチ⸣バ　⸣ムテーティル　⸢マイヤ⸣　ッサイ⸢ヨーッ⸣タ	[⸢joi⸣nu ⸣pimmaː ɸu̥⸢taːrunaː⸣ʃi ʔu⸢buʔaidaʧi⸣ba ⸣muteːtiru ⸢maija⸣ ssai⸢joːt⸣ta]	(お祝いの際には二人ずつで横杵を持って米を搗かれた<精げられた>)。バ⸢コーシン⸣カ[ba⸢koːʃiŋ⸣ka](大勢の共同作業人)の食事を賄うには、普通の杵では米搗きが間に合わない。それで、ウ⸢ブアイダ⸣チ[ʔu⸢buʔaida⸣ʧi](大きな木槌の杵)を使って、三人一組で一つの臼に向かい、臼を二つ並べて掛け声をかけながら米搗きをした。
78	0	2	178	アイニ	⸣アイニ	1	⸣アイニ　⸢マイ⸣ヤ　⸣フネー　⸣ミリ　ミ⸢ラ⸣ヌ	[⸣ʔaini ⸢mai⸣ja ⸣ɸuneː ⸣miri mi⸢ra⸣nu]	(あのように大きな船は見たことがない)。あのように。
198	2	0	192	アイマチ	⸢アイマ⸣チ	2	⸢アイマ⸣チ　⸢ダー	[⸢ʔaima⸣ʧi ⸢daː]	(ごめんよ<あやまちだよ>)。本来は、⸢バー⸣ル　⸢ワッ⸣サ　⸢アイ⸣マチ⸢ナー　⸣ヌビ　ッ⸢ふィーリ⸣ダー[⸢baː⸣ru ⸢was⸣sa ⸢ʔaima⸣ʧi⸢naː ⸣nubi f⸢fiːri⸣daː](私が悪い{EOS}ごめんよ{EOS}堪忍してくれよ)という
203	0	0	199	アイヤーティ	アイ⸢ヤー⸣ティ	1	アイ⸢ヤー⸣ティル　キ⸢ノー⸣ヤ　⸢クーン⸣　ブ⸢レー⸣バン⸢ナー	[ʔai⸢jaː⸣tiru ki⸢noː⸣ja ⸢kuːm⸣ bu⸢reː⸣ban⸢naː]	(それだから<それで>昨日は来なかったんだね)。「それだから」の義。前件を受けて、それを原因・理由とする帰結を述べる接続表現。
